Species#,Genus,Species,Taxon,Family,Growth_Form,ID_confidence
946,Adelia,triloba,Adelia triloba,Euphorbiaceae,tree,strong
965,Critonia,sexangulare,Critonia sexangulare,Asteraceae,tree,strong
967,Lonchocarpus,oliganthus,Lonchocarpus oliganthus,Fabaceae,tree,strong
969,Pachyptera,hymenaea,Pachyptera hymenaea,Bignoniaceae,vine,partial census
975,Tabebuia,impetiginosa,Tabebuia impetiginosa,Bignoniaceae,tree,Strong
981,Pterocarpus,rohrii,Pterocarpus rohrii,Fabaceae,tree,strong
983,Spondias,radlkoferi,Spondias radlkoferi,Anacardiaceae,tree,strong
985,Croton,morifolius,Croton morifolius,Euphorbiaceae,shrub,strong
987,Rourea,glabra,Rourea glabra,Connaraceae,shrub,strong
989,Acacia,tenuifolia,Acacia tenuifolia,Mimosaceae,vine,partial census
