Plot,Line,Tag,DIS,LOC,POM,DTN,DGH,DBH,Morpho,Main Stem,Notes
SW,2,1200,42.3,C,,,1.3,,THORNY PALM,,
SW,2,1201,42.4,,,,,1.2,,,
SW,2,1202,42.4,C,,,1.4,,,,
SW,2,1203,42.7,L,,,1.1,,,,
SW,2,1204,43.4,LL,,,1.3,,,,
SW,2,1205,43.4,RR,,,,1,,,
SW,2,1206,43.2,L,,,,1.8,THORNY PALM,,
SW,2,1207,43.4,L,,,,1.7,THORNY PALM,,
SW,2,1208,42.9,C,,,1.2,,LIANA,,
SW,2,1209,43.7,L,,,,2.3,THORNY PALM,,
SW,2,1210,43.1,C,,,,1.4,THORNY PALM,,
SW,2,1211,44.7,C,,,1.8,,THORNY PALM,,
SW,2,1212,43.8,RR,,,,1.3,,,
SW,2,1213,44.7,C,,,,1.4,THORNY PALM,,
SW,2,1214,44.3,R,,,1.1,,LIANA,,
SW,2,1215,44.7,C,,,,1.2,THORNY PALM,,
SW,2,1216,44.5,C,,,,1.4,THORNY PALM,,
SW,2,1217,44.5,R,,,,1.2,,,
SW,2,1218,44.7,C,,,,1.4,,,
SW,2,1219,44.7,C,,,,1.2,,,
SW,2,1220,48,L,,,,1.3,,,
SW,2,1221,46.3,L,,,,1.7,,,
SW,2,1222,48,RR,,,1.1,,LIANA,,
SW,2,1223,46.2,L,,,,1.5,,,
SW,2,1224,46.1,L,,,,1.2,,,
SW,2,1225,46.8,R,,,1.4,,,,
SW,2,1226,45.9,L,,,1.6,,,,
SW,2,1227,42.2,R,,,,2.2,,,
SW,2,1228,47,LL,,,,1.8,,,
SW,2,1229,47.3,LL,,,,2.7,,,
SW,2,1230,47.8,RR,,,,3.6,,,
SW,2,1231,47.2,LL,,,,1.2,,,
SW,2,1232,47.2,LL,,,,2.1,,,
SW,2,1233,48,RR,,,2.4,,,,
SW,2,1234,48.6,RR,,,,1.6,,,
SW,2,1235,47.3,LL,,,,2.4,,,
SW,2,1236,48.7,R,,,,4.1,,,
SW,2,1237,47.9,RR,,,1.6,,,,
SW,2,1238,47.2,LL,,,,2.3,,,
SW,2,1239,48.8,C,,,,1.4,,,
SW,2,1240,49,C,,,,2.2,,,
SW,2,1241,49.8,R,,,1.6,,LAURACEAE,,
SW,2,1242,49,R,,,,2.1,,,
SW,2,1243,51.4,LL,,,1.2,,,,
SW,2,1244,52,LL,,,2.3,,BORAGINACEAE,,
SW,1,1245,10.3,L,,,1,,,,NEAR 1015
SW,1,1246,6.6,R,,,1.1,,,,NEAR 1014
SW,1,1247,38.2,C,,,1,,,,NEAR 1053
SW,1,1248,43.9,RR,,,1,,,,NEAR 1056
SW,1,1249,,C,,,1,,,,NEAR 1073
SW,2,1250,41,R,,,1.1,,,,NEAR 1191
SW,2,1251,40.7,LL,,,,1.3,,,NEAR 1187
